Number,Type,Congress,Title,Url
989,S,117,Native American Language Resource Center Act of 2022,https://api.congress.gov/v3/bill/117/s/989?format=xml
680,HR,117,"For the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar.",https://api.congress.gov/v3/bill/117/hr/680?format=xml
1082,HR,117,Sami's Law,https://api.congress.gov/v3/bill/117/hr/1082?format=xml
3168,S,117,"A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to modify the enforceability date for certain provisions, and for other purposes.",https://api.congress.gov/v3/bill/117/s/3168?format=xml
5087,S,117,"A bill to amend the Not Invisible Act of 2019 to extend, and provide additional support for, the activities of the Department of the Interior and the Department of Justice Joint Commission on Reducing Violent Crime Against Indians, and for other purposes.",https://api.congress.gov/v3/bill/117/s/5087?format=xml
5328,S,117,A bill to amend the Farm Security and Rural Investment Act of 2002 to extend terminal lakes assistance.,https://api.congress.gov/v3/bill/117/s/5328?format=xml
2333,S,117,Equal Pay for Team USA Act of 2022,https://api.congress.gov/v3/bill/117/s/2333?format=xml
3308,S,117,Colorado River Indian Tribes Water Resiliency Act of 2022,https://api.congress.gov/v3/bill/117/s/3308?format=xml
1541,S,117,Martha Wright-Reed Just and Reasonable Communications Act of 2022,https://api.congress.gov/v3/bill/117/s/1541?format=xml
3405,S,117,Low Power Protection Act,https://api.congress.gov/v3/bill/117/s/3405?format=xml
450,S,117,Emmett Till and Mamie Till-Mobley Congressional Gold Medal Act of 2021,https://api.congress.gov/v3/bill/117/s/450?format=xml
2834,S,117,Dr. Joanne Smith Memorial Rehabilitation Innovation Centers Act of 2022,https://api.congress.gov/v3/bill/117/s/2834?format=xml
1154,HR,117,Great Dismal Swamp National Heritage Area Act,https://api.congress.gov/v3/bill/117/hr/1154?format=xml
1917,HR,117,Hazard Eligibility and Local Projects Act,https://api.congress.gov/v3/bill/117/hr/1917?format=xml
897,HR,117,Agua Caliente Land Exchange Fee to Trust Confirmation Act,https://api.congress.gov/v3/bill/117/hr/897?format=xml
8260,HR,117,Faster Payments to Veterans' Survivors Act of 2022,https://api.congress.gov/v3/bill/117/hr/8260?format=xml
5230,S,117,Billy's Law,https://api.congress.gov/v3/bill/117/s/5230?format=xml
4003,S,117,Law Enforcement De-Escalation Training Act of 2022,https://api.congress.gov/v3/bill/117/s/4003?format=xml
3846,S,117,Justice and Mental Health Collaboration Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/s/3846?format=xml
